rep,guard,recall,fpr
313,v3,1.0,0.0
314,v2,0.8537348455220962,0.0
314,v3,1.0,0.0
315,v2,0.8559782608695652,0.0
315,v3,1.0,0.0
316,v2,0.8540372670807453,0.0
316,v3,1.0,0.0
317,v2,0.8501170960187353,0.0
317,v3,1.0,0.0
318,v2,0.8588553750966744,0.0
318,v3,1.0,0.0
319,v2,0.8538670812281384,0.0
319,v3,1.0,0.0
320,v2,0.8501362397820164,0.0
320,v3,1.0,0.0
321,v2,0.8485901892622634,0.0
321,v3,1.0,0.0
322,v2,0.8594361785434612,0.0
322,v3,1.0,0.0
323,v2,0.8579835229501765,0.0
323,v3,1.0,0.0
324,v2,0.8542635658914729,0.0
324,v3,1.0,0.0
325,v2,0.8569188553508428,0.0
325,v3,1.0,0.0
326,v2,0.8515351729498639,0.0
326,v3,1.0,0.0
327,v2,0.857365549493375,0.0
327,v3,1.0,0.0
328,v2,0.8571995239984134,0.0
328,v3,1.0,0.0
329,v2,0.8526315789473684,0.0
329,v3,1.0,0.0
330,v2,0.8593568384347152,0.0
330,v3,1.0,0.0
331,v2,0.8539370078740157,0.0
331,v3,1.0,0.0
332,v2,0.8536106750392465,0.0
332,v3,1.0,0.0
333,v2,0.8580896686159845,0.0
333,v3,1.0,0.0
334,v2,0.8583202511773941,0.0
334,v3,1.0,0.0
335,v2,0.8518518518518519,0.0
335,v3,1.0,0.0
336,v2,0.8527315914489311,0.0
336,v3,1.0,0.0
337,v2,0.855880092236741,0.0
337,v3,1.0,0.0
338,v2,0.8491464867010718,0.0
338,v3,1.0,0.0
339,v2,0.8475390156062425,0.0
339,v3,1.0,0.0
340,v2,0.8533333333333334,0.0
340,v3,1.0,0.0
341,v2,0.8555207517619421,0.0
341,v3,1.0,0.0
342,v2,0.8527011270890011,0.0
342,v3,1.0,0.0
343,v2,0.8550272798129385,0.0
343,v3,1.0,0.0
344,v2,0.8512204571871368,0.0
344,v3,1.0,0.0
345,v2,0.854296875,0.0
345,v3,1.0,0.0
346,v2,0.8528375733855186,0.0
346,v3,1.0,0.0
347,v2,0.8573108584868679,0.0
347,v3,1.0,0.0
348,v2,0.855908912446015,0.0
348,v3,1.0,0.0
349,v2,0.8548575887631682,0.0
349,v3,1.0,0.0
350,v2,0.8534176214934809,0.0
350,v3,1.0,0.0
351,v2,0.8509634290208415,0.0
351,v3,1.0,0.0
352,v2,0.8587592664845883,0.0
352,v3,1.0,0.0
353,v2,0.8557504873294347,0.0
353,v3,1.0,0.0
354,v2,0.8571979930528754,0.0
354,v3,1.0,0.0
355,v2,0.8600078647267008,0.0
355,v3,1.0,0.0
356,v2,0.8496327792810204,0.0
356,v3,1.0,0.0
357,v2,0.8549080954243253,0.0
357,v3,1.0,0.0
358,v2,0.8542635658914729,0.0
358,v3,1.0,0.0
359,v2,0.8489180834621329,0.0
359,v3,1.0,0.0
360,v2,0.8503875968992248,0.0
360,v3,1.0,0.0
361,v2,0.8506944444444444,0.0
361,v3,1.0,0.0
362,v2,0.8570315543435918,0.0
362,v3,1.0,0.0
363,v2,0.8544819557625145,0.0
363,v3,1.0,0.0
364,v2,0.8529988239905919,0.0
364,v3,1.0,0.0
365,v2,0.8545313107740179,0.0
365,v3,1.0,0.0
366,v2,0.8490566037735849,0.0
366,v3,1.0,0.0
367,v2,0.8527222875048962,0.0
367,v3,1.0,0.0
368,v2,0.8541586073500967,0.0
368,v3,1.0,0.0
369,v2,0.845732184808144,0.0
369,v3,1.0,0.0
370,v2,0.8550667714061273,0.0
370,v3,1.0,0.0
371,v2,0.8494996150885297,0.0
371,v3,1.0,0.0
372,v2,0.8553508428067425,0.0
372,v3,1.0,0.0
373,v2,0.850873786407767,0.0
373,v3,1.0,0.0
374,v2,0.8526645768025078,0.0
374,v3,1.0,0.0
375,v2,0.8561320754716981,0.0
375,v3,1.0,0.0
376,v2,0.8573099415204678,0.0
376,v3,1.0,0.0
377,v2,0.8518373729476153,0.0
377,v3,1.0,0.0
378,v2,0.8570885594830863,0.0
378,v3,1.0,0.0
379,v2,0.8531007751937985,0.0
379,v3,1.0,0.0
